Project;Avg. Elements;Inconsistency;Context Element;[Time (ms)] Load/Calculate Revision;[Time (ms)] Recognition Time;[Time (ms)] Complement Matching;Complements (Repairs);Historically Observable Repairs (HOR);Historically Observable Undos (HOU);Ranking of Best HOR;Unbound Parameters of Best HOR
emf;237;AContainmentReferenceOfATypeWithAContainerFeaturethatRequiresInstancesToBeContainedElsewhereCannotBePopulated;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.emf.emf/plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore/0062_2010-03-11T03-31-37Z_2b0546c4ce4e3a107c2a049d1b22fc97054d8346_coevolution_2010-04-28T16-45-53Z/plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore#_YVrQNN6tEei97MD7GK1RmA;175;1958;514;16;true;false;0;0
emf;237;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.emf.emf/plugins_org.eclipse.emf.ecore.change_model_Change.ecore/0011_2005-06-02T00-28-12Z_9280c817687f4d4c43a3f0b7f694346d6047c8e2_coevolution_2006-12-26T20-03-33Z/plugins_org.eclipse.emf.ecore.change_model_Change.ecore#//ListChange/apply/originalList/@eGenericType;128;9;472;4;true;false;0;1
emf;237;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.emf.emf/plugins_org.eclipse.emf.ecore.change_model_Change.ecore/0011_2005-06-02T00-28-12Z_9280c817687f4d4c43a3f0b7f694346d6047c8e2_coevolution_2006-12-26T20-03-33Z/plugins_org.eclipse.emf.ecore.change_model_Change.ecore#//ListChange/applyAndReverse/originalList/@eGenericType;129;7;575;4;true;false;0;1
emf;237;TheGenericTypeAssociatedWithTheClassifierShouldHaveTypeArgumentsToMatchTheNumberOfTypeParametersOfTheClassifier;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.emf.emf/plugins_org.eclipse.emf.ecore.change_model_Change.ecore/0011_2005-06-02T00-28-12Z_9280c817687f4d4c43a3f0b7f694346d6047c8e2_coevolution_2006-12-26T20-03-33Z/plugins_org.eclipse.emf.ecore.change_model_Change.ecore#//ResourceChange/value/@eGenericType;157;3;463;3;true;false;0;1
gmf-tooling;295;AClassThatIsAnInterfaceMustAlsoBeAbstract;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0036_2006-11-02T23-50-22Z_a687ccb1390eabf1f4c8bb8fc957240fb1cf90f0_coevolution_2007-01-16T21-02-49Z/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_yvd6tEei97MD7GK1RmA;90;2;4;3;true;false;1;0
gmf-tooling;295;AClassThatIsAnInterfaceMustAlsoBeAbstract;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0036_2006-11-02T23-50-22Z_a687ccb1390eabf1f4c8bb8fc957240fb1cf90f0_coevolution_2007-01-16T21-02-49Z/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_y0N6tEei97MD7GK1RmA;92;0;5;3;true;false;1;0
gmf-tooling;295;AClassThatIsAnInterfaceMustAlsoBeAbstract;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0036_2006-11-02T23-50-22Z_a687ccb1390eabf1f4c8bb8fc957240fb1cf90f0_coevolution_2007-01-16T21-02-49Z/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_y2t6tEei97MD7GK1RmA;85;2;4;3;true;false;1;0
gmf-tooling;295;AClassThatIsAnInterfaceMustAlsoBeAbstract;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0036_2006-11-02T23-50-22Z_a687ccb1390eabf1f4c8bb8fc957240fb1cf90f0_coevolution_2007-01-16T21-02-49Z/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_y3d6tEei97MD7GK1RmA;80;2;4;3;true;false;1;0
gmf-tooling;295;TheOppositeOfTheOppositeMayNotBeAReferenceDifferentFromThisOne;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0012_2006-02-22T23-01-15Z_5d8b7580c8f1ef27d721a366ddeee6270c0833f1/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_y4d6tEei97MD7GK1RmA;77;6352;1346;344;true;false;0;0
gmf-tooling;295;AClassThatIsAnInterfaceMustAlsoBeAbstract;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0036_2006-11-02T23-50-22Z_a687ccb1390eabf1f4c8bb8fc957240fb1cf90f0_coevolution_2007-01-16T21-02-49Z/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_y796tEei97MD7GK1RmA;79;1;6;3;true;false;1;0
gmf-tooling;295;AClassThatIsAnInterfaceMustAlsoBeAbstract;file:/users/mohrndorf/workspaces/sidiff-build/org.eclipse.git.evaluation_2018-11-02/modeling.gmp.gmf-tooling/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore/0036_2006-11-02T23-50-22Z_a687ccb1390eabf1f4c8bb8fc957240fb1cf90f0_coevolution_2007-01-16T21-02-49Z/plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore#_aK_y8N6tEei97MD7GK1RmA;77;2;4;3;true;false;1;0
